
2024/07/14 (22:46:42) | ===> btop++ v.1.3.2
2024/07/14 (22:46:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/14 (23:16:16) | ===> btop++ v.1.3.2
2024/07/14 (23:16:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/14 (23:17:04) | ===> btop++ v.1.3.2
2024/07/14 (23:17:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/14 (23:17:14) | ===> btop++ v.1.3.2
2024/07/14 (23:17:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/14 (23:17:24) | ===> btop++ v.1.3.2
2024/07/14 (23:17:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/14 (23:58:33) | ===> btop++ v.1.3.2
2024/07/14 (23:58:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/15 (00:16:20) | ===> btop++ v.1.3.2
2024/07/15 (00:16:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/17 (13:07:37) | ===> btop++ v.1.3.2
2024/07/17 (13:07:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/17 (13:07:43) | ERROR: Stall in Runner thread, restarting!
2024/07/17 (13:07:49) | ERROR: Stall in Runner thread, restarting!

2024/07/17 (13:08:00) | ===> btop++ v.1.3.2
2024/07/17 (13:08:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/17 (13:08:06) | ERROR: Stall in Runner thread, restarting!
2024/07/17 (13:08:12) | ERROR: Stall in Runner thread, restarting!

2024/07/17 (15:22:48) | ===> btop++ v.1.3.2
2024/07/17 (15:22:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/24 (21:02:29) | ===> btop++ v.1.3.2
2024/07/24 (21:02:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/24 (21:02:35) | ERROR: Stall in Runner thread, restarting!

2024/07/24 (21:02:53) | ===> btop++ v.1.3.2
2024/07/24 (21:02:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/24 (21:02:59) | ERROR: Stall in Runner thread, restarting!
2024/07/24 (21:03:05) | WARNING: Failed to join _runner thread on exit!

2024/07/24 (21:03:59) | ===> btop++ v.1.3.2
2024/07/24 (21:03:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/26 (23:44:50) | ===> btop++ v.1.3.2
2024/07/26 (23:44:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (11:52:54) | ===> btop++ v.1.3.2
