7zip 24.09-3
aarch64-linux-gnu-gcc 14.2.0-1
alsa-utils 1.2.14-1
amd-ucode 20250508.788aadc8-1
android_translation_layer r739.7aea3a69-1
ani-cli 4.10-1
anki 25.02.5-1
apt 3.1.0-1
archivemount 0.9.1-3
asciiquarium 1.1-7
atl-gui-git 0.1.0.r36.193e85e-1
base 3-2
base-devel 1-2
bat 0.25.0-4
bc 1.08.1-1
bibata-cursor-theme 2.0.7-1
bind 9.20.8-2
bionic_translation r71.104abd18-1
blueman 2.4.4-1
bluetui 0.6-1
bluez-utils 5.82-1
brightnessctl 0.5.1-3
bsd-compat-headers 0.7.2-2
btop 1.4.3-2
c-lolcat 1.4-1
catppuccin-cursors-mocha 2.0.0-1
cava 0.10.4-3
chafa 1.14.5-1
cliphist 1:0.6.1-1
cmake 4.0.2-1
cmatrix 2.0-3
code 1.100.2-1
copyq 10.0.0-1
cowsay 3.8.4-1
cpio 2.15-2
cppcodec 0.2-4
curlftpfs 0.9.2-10
dkms 3.2.1-1
dolphin 25.04.1-1
dosfstools 4.2-5
drawio-desktop 27.0.5-1
dunst 1.12.2-1
dust 1.2.0-1
dysk 2.10.1-1
efibootmgr 18-3
elfutils 0.193-2
eza 0.21.3-1
fd 10.2.0-1
firefox 138.0.4-1
fish 4.0.2-1
fish-nvm 2.2.17-1
fnm 1.38.1-1
fzf 0.62.0-1
gbm 1.4.1-1
gcc-fortran 15.1.1+r7+gf36ec88aa85a-1
ghq 1.8.0-1
git 2.49.0-2
git-filter-repo 2.47.0-2
github-cli 2.73.0-1
glaze 5.2.1-1
gnome-boxes 48.0-4
gnome-shell-extensions 48.1-1
go 2:1.24.3-1
google-chrome 136.0.7103.113-1
gparted 1.7.0-1
grim 1.4.1-3
grub 2:2.12.r292.g73d1c959-1
gst-plugin-pipewire 1:1.4.2-1
haveged 1.9.19-1
htop 3.4.1-1
hypridle 0.1.6-4
hyprland-git 0.48.0.r163.gf8bbe51-1
hyprlock-git 0.8.2.r4.gc12cf8e-1
hyprpaper-git 0.7.5.r0.g753ffa7-1
hyprpicker 0.4.5-1
hyprpolkitagent 0.1.2-7
hyprshot 1.3.0-2
imagemagick 7.1.1.47-2
inetutils 2.6-1
iptables 1:1.8.11-2
isomaster 1.3.17-1
iwd 3.8-1
kanata 1.8.1-1
kdeconnect 25.04.1-1
kitty 0.42.0-1
konsole 25.04.1-1
kvantum 1.1.5-1
lazygit 0.50.0-1
lib32-nvidia-utils 570.144-1
libisoburn 1.5.6-1
libpulse 17.0+r43+g3e2bb8a1e-1
libreoffice-fresh 25.2.3-3
linux 6.14.6.arch1-1
linux-firmware 20250508.788aadc8-1
linux-headers 6.14.6.arch1-1
linux-wifi-hotspot 4.7.2-2
lxappearance 0.6.4-1
macchanger 1.7.0-6
man-db 2.13.1-1
man-pages 6.14-1
mariadb 11.7.2-3
mongodb70-bin 7.0.20-1
mpc 0.35-1
mpd 0.24.4-1
mtools 1:4.0.48-1
mupdf-gl 1.25.6-1
nano 8.4-1
nasm 2.16.03-2
nautilus 48.1-1
nautilus-python 4.0.1-4
neovim 0.11.1-2
nerd-fonts-noto-sans-mono 3.2.1-1
network-manager-applet 1.36.0-1
networkmanager 1.52.0-1
networkmanager-openvpn 1.12.0-1
nlohmann-json 3.12.0-2
nodejs 23.11.1-1
noto-fonts 1:2025.05.01-1
noto-fonts-cjk 20240730-1
